id_equipo_local,id_equipo_visitante,goles_local,goles_visitante,resultado,arbitro,fixture_id,fecha_timestamp,goles_descanso_local,goles_descanso_visitante,estadio,season
727,861,3,0,1,"Santiago Varon Aceiton,",27844,1552842000,1.0,0.0,Estadio El Sadar,2018
718,714,2,0,1,,27845,1552820400,0.0,0.0,Estadio Nuevo Carlos Tartiere (Oviedo),2018
729,544,0,1,2,,27846,1552777200,,,Estadio Camp Nou Municipal (Reus),2018
732,797,1,0,1,"Luis Mario Milla Alvendiz,",27847,1552764600,1.0,0.0,La Romareda,2018
724,713,1,1,0,"David Perez Pallas, Spain",27848,1553446800,0.0,0.0,Estadio Ramon de Carranza,2018
544,723,0,0,0,"Daniel Jesus Trujillo Suarez, Spain",27849,1553284800,0.0,0.0,Estadio de Riazor,2018
797,711,3,1,1,"Aitor Gorostegui Fernandez Orte, Spain",27850,1553353200,2.0,1.0,Estadio Manuel Martínez Valero,2018
860,729,1,0,1,,27851,1553382000,,,Estadio Francisco de la Hera,2018
714,535,0,1,2,"Juan Luis Pulido Santana, Spain",27852,1553439600,0.0,0.0,Nou Estadi Municipal,2018
715,534,1,1,0,"Alvaro Moreno Aragon,",27853,1553454000,0.0,0.0,Nuevo Los Cármenes,2018
716,722,0,3,2,"Saul Ais Reig, Spain",27854,1553360400,0.0,1.0,Anxo Carro,2018
798,732,3,0,1,"Oliver de la Fuente Ramos, Spain",27855,1553544000,1.0,0.0,Iberostar Estadi,2018
861,717,4,0,1,"Damaso Arcediano Monescillo, Spain",27856,1553425200,3.0,0.0,Estadio Cerro del Espino,2018
731,718,1,0,1,"Isidro Diaz de Mera Escuderos, Spain",27857,1553456700,1.0,0.0,El Molinón-Enrique Castro Quini,2018
719,727,3,2,1,"Javier Iglesias Villanueva, Spain",27858,1553284800,0.0,2.0,Heliodoro Rodríguez López,2018
722,719,2,2,0,"Jorge Figueroa Vazquez, Spain",27859,1553974200,1.0,1.0,Carlos Belmonte,2018
711,716,0,0,0,"Santiago Varon Aceiton,",27860,1554048000,0.0,0.0,Santo Domingo,2018
723,861,2,2,0,"Ruben Avalos Barrera,",27861,1553958000,1.0,0.0,Estadio del Mediterráneo,2018
713,798,3,2,1,"Jose Antonio Lopez Toca,",27862,1554026400,1.0,0.0,Estadio Nuevo Arcángel,2018
534,797,0,1,2,"Victor Areces Franco, Spain",27863,1554055200,0.0,0.0,Gran Canaria,2018
535,731,1,1,0,"Valentin Pizarro Gomez, Spain",27864,1553889600,0.0,1.0,La Rosaleda,2018
717,715,2,1,1,"Daniel Ocon Arraiz, Spain",27865,1553965200,0.0,0.0,Los Pajaritos,2018
727,860,1,0,1,"Abraham Dominguez Cervantes, Spain",27866,1554040800,1.0,0.0,Estadio El Sadar,2018
718,544,1,1,0,"Cesar Soto Grado, Spain",27867,1554048000,1.0,0.0,Carlos Tartiere,2018
729,724,0,1,2,,27868,1553983200,,,Estadio Municipal de Reus,2018
732,714,3,0,1,"Gorka Sagues Oscoz, Spain",27869,1554145200,3.0,0.0,La Romareda,2018
711,722,0,1,2,"Luis Mario Milla Alvendiz,",27870,1554631200,0.0,1.0,Santo Domingo,2018
724,732,3,3,0,"Isidro Diaz de Mera Escuderos, Spain",27871,1554750000,1.0,2.0,Estadio Ramon de Carranza,2018
