id_jugador,nombre_jugador,equipo_jugador,id_equipo,temporada_equipo
192024,Lautaro Marco Spatz,Cadiz,724,2022
1825,Lucas Torró,Osasuna,727,2022
46654,Aridane,Osasuna,727,2022
46658,Rubén García,Osasuna,727,2022
46662,Moncayola,Osasuna,727,2022
46667,Enrique Barja Afonso,Osasuna,727,2022
46746,A. Budimir,Osasuna,727,2022
47270,Unai Simón,Athletic Club,531,2022
47361,D. Brašanac,Osasuna,727,2022
47396,Kike García,Osasuna,727,2022
47574,Moi Gómez,Osasuna,727,2022
47579,E. Ávila,Osasuna,727,2022
64309,Manuel Sánchez de la Peña,Osasuna,727,2022
67939,Aimar Oroz,Osasuna,727,2022
139001,Pablo Ibáñez,Osasuna,727,2022
182592,Jorge Herrando,Osasuna,727,2022
182621,Iker Muñoz,Osasuna,727,2022
183848,Julen Agirrezabala,Athletic Club,531,2022
195918,Diego Moreno Garbayo,Osasuna,727,2022
288800,Iker Benito,Osasuna,727,2022
312468,Álex Padilla,Athletic Club,531,2022
898,Ander Herrera,Athletic Club,531,2022
2670,Íñigo Martínez,Athletic Club,531,2022
30510,Alejandro Berenguer Remiro,Athletic Club,531,2022
47271,Yeray,Athletic Club,531,2022
47272,Balenziaga,Athletic Club,531,2022
47273,Yuri,Athletic Club,531,2022
47274,Capa,Athletic Club,531,2022
47275,De Marcos,Athletic Club,531,2022
47276,Lekue,Athletic Club,531,2022
47278,Dani Vivian,Athletic Club,531,2022
47281,Dani García,Athletic Club,531,2022
47282,Raúl García,Athletic Club,531,2022
47294,I. Williams,Athletic Club,531,2022
47418,Mikel Vesga,Athletic Club,531,2022
128398,Oihan Sancet,Athletic Club,531,2022
182560,Oier Zarraga,Athletic Club,531,2022
182563,Jon Morcillo,Athletic Club,531,2022
182639,Unai Vencedor,Athletic Club,531,2022
182640,Ander Iru,Athletic Club,531,2022
183849,Aitor Paredes,Athletic Club,531,2022
505,D. Alaba,Real Madrid,541,2022
653,F. Mendy,Real Madrid,541,2022
730,T. Courtois,Real Madrid,541,2022
733,Dani Carvajal,Real Madrid,541,2022
735,Nacho,Real Madrid,541,2022
737,Odriozola,Real Madrid,541,2022
741,Vallejo,Real Madrid,541,2022
752,T. Kroos,Real Madrid,541,2022
754,L. Modrić,Real Madrid,541,2022
2672,Muniain,Athletic Club,531,2022
